Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,Altitude,
2.87231,38.0358,2.87231,38.0358,0,-0.0129221,-0.118454,0.299366,0.0211427,-0.065561,-0.299366,9.09989,
2.87852,38.0681,2.89084,38.4378,0.36988,-0.0189994,-0.119582,0.299204,0.0196727,-0.0625247,-0.297896,9.29988,
2.92055,38.1689,2.89084,38.4378,0.270573,-0.0219664,-0.112044,0.298857,0.0182227,-0.0614454,-0.296736,9.29988,
2.99384,38.2554,2.90937,38.8523,0.60285,-0.0318267,-0.114511,0.297507,0.0147227,-0.0604157,-0.296236,9.39988,
3.04169,38.4232,2.90937,38.8523,0.448995,-0.0240765,-0.106232,0.295948,0.0129427,-0.0601922,-0.295926,9.39988,
3.09868,38.5468,2.94644,39.2417,0.711401,-0.0321666,-0.115079,0.298768,0.0133227,-0.0607306,-0.296996,9.59988,
3.16285,38.6616,2.94644,39.2417,0.619145,-0.0353497,-0.118452,0.298197,0.0107127,-0.0626302,-0.298126,9.59988,
3.24327,38.7638,2.9835,39.6311,0.905399,-0.0432376,-0.12721,0.30015,0.00813265,-0.0659657,-0.298276,9.69988,
3.34277,38.8897,2.9835,39.6311,0.823859,-0.0493585,-0.126797,0.300194,0.00373265,-0.0678981,-0.297806,9.69988,
3.45592,39.0093,3.03909,40.0205,1.09378,-0.0552027,-0.128902,0.299551,-0.00222265,-0.0679126,-0.297196,9.89987,
3.54449,39.2218,3.03909,40.0205,0.945131,-0.0465196,-0.116176,0.297833,-0.00636265,-0.065988,-0.296236,9.89987,
3.61375,39.4476,3.11322,40.3974,1.07363,-0.0469703,-0.108032,0.296748,-0.00565265,-0.0658671,-0.295386,9.99987,
3.67202,39.5786,3.18734,40.7617,1.27852,-0.0483127,-0.118904,0.295839,-0.00757265,-0.0656663,-0.295896,10.1999,
3.71381,39.7102,3.18734,40.7617,1.17594,-0.0481191,-0.119899,0.294461,-0.00699265,-0.065466,-0.294866,10.1999,
3.7497,39.8653,3.18734,40.7617,1.05819,-0.0501786,-0.119529,0.295877,-0.00193265,-0.0675376,-0.294976,10.1999,
3.80955,40.0501,3.26146,41.1134,1.19622,-0.0550082,-0.114822,0.293233,-0.00329265,-0.0684706,-0.295726,10.1999,
3.94113,40.2497,3.26146,41.1134,1.09909,-0.0678261,-0.10227,0.293309,-0.0105927,-0.0617458,-0.294746,10.1999,
4.05207,40.4289,3.33559,41.44,1.2392,-0.0637782,-0.0906318,0.289482,-0.0176827,-0.0555314,-0.294946,10.2999,
4.16034,40.5992,3.42824,41.7791,1.3886,-0.0668315,-0.0844954,0.287154,-0.0230027,-0.0489533,-0.294686,10.2999,
4.20315,40.7138,3.42824,41.7791,1.31733,-0.0598447,-0.085684,0.285624,-0.0202927,-0.0446397,-0.294066,10.2999,
4.17661,40.8472,3.42824,41.7791,1.19522,-0.0502188,-0.0854014,0.28444,-0.0149527,-0.0422065,-0.294346,10.2999,
4.12992,41.1095,3.50236,42.1057,1.17737,-0.0361847,-0.0705074,0.283142,-0.00962265,-0.0440235,-0.294186,10.2999,
4.09098,41.3696,3.50236,42.1057,0.942519,-0.0296963,-0.0671354,0.282848,-0.00798265,-0.047339,-0.294386,10.2999,
4.08356,41.5929,3.59502,42.4198,0.960424,-0.0284549,-0.0699146,0.282685,-0.00432265,-0.0520404,-0.293746,10.3999,
4.0894,41.7614,3.68767,42.7212,1.04052,-0.029264,-0.0770874,0.282403,-0.00334265,-0.0528744,-0.294126,10.3999,
4.11884,41.9544,3.68767,42.7212,0.879681,-0.0294067,-0.0724314,0.28353,-0.00420265,-0.0545556,-0.294236,10.3999,
4.17836,42.1616,3.78032,43.0227,0.948657,-0.0296931,-0.0639837,0.281233,-0.00674265,-0.0506151,-0.294706,10.3999,
4.22137,42.3499,3.78032,43.0227,0.804445,-0.0282899,-0.0568788,0.27916,-0.00437265,-0.0464618,-0.293936,10.3999,
4.23863,42.5523,3.78032,43.0227,0.656726,-0.0244483,-0.0470709,0.277288,-0.00201265,-0.0422689,-0.293286,10.3999,
4.28834,42.734,3.87298,43.3242,0.721706,-0.0299895,-0.0384018,0.272726,-0.000732654,-0.0387025,-0.293316,10.3999,
4.32888,42.9099,3.87298,43.3242,0.615994,-0.025558,-0.0296672,0.269848,-0.00239265,-0.0314792,-0.293166,10.3999,
4.41679,43.0461,3.96563,43.6131,0.724579,-0.0356119,-0.0224911,0.266178,-0.00489265,-0.0282609,-0.293106,10.4998,
4.56042,43.0776,3.96563,43.6131,0.800357,-0.0498104,-0.0336027,0.267288,-0.0148127,-0.0298549,-0.294386,10.4998,
4.72268,43.1485,4.05828,43.8894,0.995165,-0.0536889,-0.0361226,0.268851,-0.0234327,-0.0367326,-0.294876,10.6998,
4.90861,43.2147,4.05828,43.8894,1.08548,-0.0604294,-0.0443886,0.270742,-0.0359027,-0.0465327,-0.294946,10.6998,
5.07569,43.299,4.15094,44.1658,1.26745,-0.0646146,-0.0487565,0.270663,-0.0410127,-0.0495364,-0.294366,10.9998,
5.20044,43.3882,4.15094,44.1658,1.3062,-0.0640711,-0.0492946,0.270169,-0.0444027,-0.0469448,-0.294916,10.9998,
5.27524,43.5116,4.24359,44.4421,1.38932,-0.0599551,-0.0445219,0.267452,-0.0448827,-0.0491264,-0.295166,11.1998,
5.26003,43.6505,4.24359,44.4421,1.2883,-0.0468706,-0.0464895,0.268874,-0.0395927,-0.0499775,-0.295286,11.1998,
5.20309,43.8419,4.31771,44.7185,1.24592,-0.0354721,-0.0436177,0.269377,-0.0328427,-0.0502694,-0.295776,11.3998,
5.11785,44.1009,4.31771,44.7185,1.01074,-0.0215201,-0.0299962,0.265224,-0.0259327,-0.0460463,-0.296136,11.3998,
5.03935,44.3586,4.39183,44.9948,0.907767,-0.0159288,-0.0182441,0.263545,-0.0178427,-0.0414718,-0.296536,11.4998,
4.98361,44.5506,4.39183,44.9948,0.739959,-0.015219,-0.0163029,0.261851,-0.0126127,-0.032842,-0.296406,11.4998,
4.94309,44.7044,4.46596,45.2586,0.731256,-0.0111633,-0.0111078,0.259209,-0.0115727,-0.0270741,-0.296726,11.5998,
4.92806,44.8082,4.46596,45.2586,0.645263,-0.0110057,-0.0112648,0.256888,-0.00927265,-0.0206559,-0.297066,11.5998,
4.96292,44.8967,4.54008,45.5224,0.755216,-0.0146109,-0.00568097,0.256148,-0.0142127,-0.0147021,-0.298386,11.7998,
4.99763,45.015,4.54008,45.5224,0.683238,-0.00851173,0.00105726,0.254105,-0.0171427,-0.0111872,-0.297616,11.7998,
5.04997,45.184,4.59567,45.7862,0.754333,-0.00700364,0.0087374,0.253588,-0.0195827,-0.0136666,-0.296766,11.8998,
5.11395,45.3548,4.59567,45.7862,0.674305,-0.0069888,0.00998358,0.253143,-0.0205927,-0.0162632,-0.297406,11.8998,
5.18127,45.4425,4.65127,46.0626,0.81571,-0.0112141,-0.00174121,0.254088,-0.0232727,-0.0183143,-0.297886,12.0998,
5.24468,45.4963,4.72539,46.3515,1.00051,-0.0120555,-0.00919363,0.256085,-0.0245727,-0.0172481,-0.298236,12.1998,
5.3166,45.5155,4.72539,46.3515,1.02393,-0.0193437,-0.0176137,0.255972,-0.0261827,-0.0197959,-0.299066,12.1998,
5.37405,45.6201,4.72539,46.3515,0.97757,-0.0145245,-0.0130214,0.256678,-0.0276827,-0.019876,-0.299126,12.1998,
5.44327,45.7584,4.78098,46.6404,1.10295,-0.0160931,-0.0113256,0.256227,-0.0301327,-0.023902,-0.298946,12.3998,
5.52429,45.9194,4.78098,46.6404,1.03553,-0.0186997,-0.00996603,0.257074,-0.0320027,-0.0263145,-0.299366,12.3998,
5.57671,46.0524,4.83658,46.9419,1.15713,-0.0161423,-0.01445,0.258834,-0.0319327,-0.0260518,-0.300016,12.4998,
5.57858,46.0508,4.83658,46.9419,1.15958,-0.0180895,-0.0323683,0.260763,-0.0292527,-0.0249106,-0.300816,12.4998,
5.54503,46.0773,4.87364,47.2433,1.34549,-0.0153831,-0.0406856,0.262673,-0.0204927,-0.0265117,-0.301706,12.5998,
5.46358,46.2367,4.87364,47.2433,1.16676,-0.00442273,-0.0336386,0.26406,-0.0120827,-0.0266645,-0.302436,12.5998,
5.38658,46.4162,4.92923,47.5448,1.21772,0.00395141,-0.0307527,0.261931,-0.00962265,-0.0256353,-0.301566,12.5998,
5.4053,46.5746,4.9663,47.8588,1.35712,-0.00518298,-0.0277519,0.259634,-0.0101127,-0.021646,-0.300356,12.6998,
5.47228,46.7709,4.9663,47.8588,1.1998,-0.005362,-0.0136045,0.256893,-0.0139827,-0.016922,-0.300016,12.6998,
5.58162,46.8897,5.00336,48.1729,1.40749,-0.0156595,-0.0156504,0.254724,-0.0179727,-0.0148422,-0.299216,12.8998,
5.69743,46.9646,5.00336,48.1729,1.39346,-0.022971,-0.0179113,0.252749,-0.0211227,-0.0147598,-0.297806,12.8998,
5.80106,47.0598,5.00336,48.1729,1.36938,-0.0246688,-0.0171118,0.251027,-0.0248227,-0.0150158,-0.298356,12.8998,
5.88536,47.1582,5.04042,48.4869,1.5746,-0.0239726,-0.0188952,0.249491,-0.0278627,-0.0147981,-0.298436,12.9998,
5.92061,47.227,5.05895,48.8135,1.80539,-0.021467,-0.0296621,0.25315,-0.0264827,-0.0175668,-0.297866,13.1998,
5.91596,47.3031,5.05895,48.8135,1.73656,-0.0161926,-0.038456,0.254665,-0.0241827,-0.0218034,-0.298536,13.1998,
5.90633,47.3945,5.05895,48.8135,1.65272,-0.0169439,-0.0456754,0.255361,-0.0200227,-0.0243173,-0.297716,13.1998,
5.87204,47.5125,5.09602,49.1401,1.80316,-0.0110344,-0.0479616,0.254604,-0.0158627,-0.0265839,-0.298176,13.2998,
5.86942,47.6837,5.13308,49.4667,1.92909,-0.0101224,-0.0417175,0.252743,-0.0138127,-0.0236411,-0.299446,13.4998,
5.86701,47.8714,5.13308,49.4667,1.75599,-0.0070559,-0.0324442,0.247656,-0.0102927,-0.0173647,-0.299506,13.4998,
5.839,48.0554,5.13308,49.4667,1.57803,-0.0045548,-0.0255806,0.244302,-0.00603265,-0.0139302,-0.300466,13.4998,
5.79051,48.1781,5.17014,49.8059,1.74202,0.000901768,-0.0304863,0.245382,-0.00142265,-0.012034,-0.302436,13.5998,
5.77461,48.2704,5.17014,49.8059,1.65015,-0.00360818,-0.0378982,0.245654,0.000542654,-0.0145067,-0.303446,13.5998,
5.7577,48.4307,5.20721,50.145,1.80053,0.00170735,-0.0366709,0.248091,0.00295265,-0.0180864,-0.305316,13.7998,
5.75695,48.5544,5.24427,50.4842,1.99672,0.00243202,-0.0451241,0.250381,0.00398265,-0.0219881,-0.308306,13.8998,
5.76372,48.786,5.24427,50.4842,1.77586,0.00646699,-0.0334586,0.246793,0.00762265,-0.0214212,-0.309486,13.8998,
5.74868,49.0977,5.29987,50.8233,1.78299,0.0143169,-0.0171266,0.244758,0.0105927,-0.016574,-0.310656,13.9998,
5.75878,49.2738,5.29987,50.8233,1.616,0.00912217,-0.0191808,0.242827,0.0127527,-0.0115477,-0.311466,13.9998,
5.7883,49.3689,5.35546,51.1625,1.84509,0.0057291,-0.022788,0.241674,0.0131527,-0.00810316,-0.311376,14.1998,
5.86465,49.4181,5.35546,51.1625,1.81723,-0.00450861,-0.0264145,0.239106,0.0106227,-0.00570021,-0.311626,14.1998,
5.9791,49.415,5.35546,51.1625,1.85543,-0.0142176,-0.0325228,0.239392,0.00912265,-0.00235001,-0.311836,14.1998,
6.12696,49.4428,5.42958,51.5142,2.1856,-0.0226843,-0.0297283,0.236288,0.00282265,0.0019623,-0.311496,14.2998,
6.28952,49.5017,5.42958,51.5142,2.18855,-0.030042,-0.0226176,0.230433,-0.00298265,0.00578055,-0.310856,14.2998,
6.45283,49.5135,5.50371,51.8534,2.52506,-0.0369895,-0.0278423,0.230487,-0.00808265,0.00835394,-0.310966,14.3998,
6.58456,49.5354,5.59636,52.2177,2.85858,-0.0392503,-0.0327583,0.230134,-0.0125227,0.0072834,-0.310806,14.5998,
6.69966,49.5693,5.59636,52.2177,2.86899,-0.0427811,-0.0404209,0.231638,-0.0122527,0.00495101,-0.310626,14.5998,
6.79621,49.6253,5.59636,52.2177,2.85657,-0.04773,-0.0467231,0.233055,-0.0119427,0.00481339,-0.311016,14.5998,
6.86752,49.7446,5.68902,52.5694,3.06081,-0.0464645,-0.0413839,0.229091,-0.0121627,0.00650669,-0.311176,14.6998,
6.96739,49.8914,5.68902,52.5694,2.96749,-0.0513171,-0.0367433,0.226574,-0.0141027,0.00839168,-0.311276,14.6998,
7.04655,50.1346,5.78167,52.9462,3.08306,-0.0469988,-0.0215655,0.219299,-0.0169227,0.0108579,-0.311426,14.7998,
7.13055,50.2806,5.78167,52.9462,2.9875,-0.0490189,-0.0268901,0.220054,-0.0189027,0.0123059,-0.311196,14.7998,
7.19736,50.4193,5.87433,53.3356,3.20239,-0.0484092,-0.027315,0.218279,-0.0200227,0.0140826,-0.311046,14.8998,
7.25958,50.5451,5.87433,53.3356,3.11543,-0.0498013,-0.0302097,0.217562,-0.0190327,0.0135095,-0.310906,14.8998,
7.27915,50.7521,5.96698,53.725,3.24956,-0.0431253,-0.0262957,0.213987,-0.0187127,0.0108956,-0.310876,15.0998,
7.28806,51.0049,5.96698,53.725,3.02391,-0.03688,-0.0251199,0.212616,-0.0188027,0.00733848,-0.310506,15.0998,
7.31285,51.2705,6.07817,54.127,3.11188,-0.0347531,-0.0243642,0.210276,-0.0193027,0.00276009,-0.310666,15.1998,
7.33226,51.5073,6.07817,54.127,2.90445,-0.0320591,-0.0276282,0.209043,-0.0165427,0.0011745,-0.310856,15.1998,
7.35947,51.6788,6.17082,54.5415,3.09971,-0.0348158,-0.0352338,0.208557,-0.0154627,0.00121266,-0.310736,15.1998,
7.34616,51.9155,6.17082,54.5415,2.87702,-0.0269055,-0.0294458,0.207897,-0.0130727,0.00146996,-0.310926,15.1998,
7.38272,52.1098,6.28201,54.9686,3.06336,-0.0325362,-0.0320955,0.207213,-0.0111327,0.00170558,-0.311236,15.2998,
7.38913,52.3677,6.28201,54.9686,2.8267,-0.0249433,-0.0260971,0.20544,-0.0112027,0.00137602,-0.311326,15.2998,
7.40931,52.6991,6.39319,55.3957,2.88174,-0.0213717,-0.0127038,0.20113,-0.00991265,0.00253734,-0.311176,15.3998,
7.43628,52.9633,6.39319,55.3957,2.64661,-0.02245,-0.0130939,0.200417,-0.00899265,0.00586787,-0.311156,15.3998,
7.48616,53.2397,6.50438,55.8353,2.7751,-0.0234528,-0.00709207,0.197669,-0.00919265,0.00776008,-0.310946,15.4998,
7.54644,53.4093,6.50438,55.8353,2.64036,-0.0245252,-0.0119927,0.196159,-0.0114627,0.00980168,-0.311186,15.4998,
7.62669,53.6614,6.61556,56.275,2.80237,-0.0245446,0.000706316,0.189025,-0.0145127,0.0125009,-0.310566,15.5997,
7.73213,53.8356,6.61556,56.275,2.68278,-0.0293694,-0.00214557,0.188167,-0.0177027,0.0148735,-0.310036,15.5997,
7.88198,53.9513,6.72675,56.7398,3.01835,-0.0382931,-0.00841948,0.188718,-0.0212127,0.0165445,-0.310286,15.6997,
7.98713,54.1118,6.72675,56.7398,2.91462,-0.0357976,-0.00786243,0.187409,-0.0235627,0.0161763,-0.310266,15.6997,
8.11363,54.2396,6.83794,57.2045,3.2277,-0.0414822,-0.015783,0.188661,-0.0274627,0.0128293,-0.310166,15.7997,
8.23422,54.4173,6.83794,57.2045,3.11735,-0.0432641,-0.0166296,0.187494,-0.0306227,0.0108382,-0.309826,15.7997,
8.37145,54.5973,6.96765,57.6693,3.37757,-0.0472332,-0.0219343,0.186739,-0.0339327,0.00747112,-0.309226,15.7997,
8.47674,54.7598,6.96765,57.6693,3.27755,-0.0496684,-0.0278886,0.186058,-0.0341327,0.0051658,-0.309066,15.7997,
8.50869,54.9819,7.07884,58.1592,3.48418,-0.0406385,-0.0279182,0.184797,-0.0342827,0.00291511,-0.310146,15.8997,
8.50409,55.3178,7.07884,58.1592,3.17884,-0.0347838,-0.0167579,0.178867,-0.0316327,0.00277255,-0.310216,15.8997,
8.53254,55.6768,7.20855,58.6616,3.26525,-0.0372121,-0.00981629,0.178764,-0.0301927,0.00494083,-0.310466,15.8997,
8.53751,55.9945,7.20855,58.6616,2.97986,-0.0316207,-0.0080652,0.17864,-0.0296627,0.00657487,-0.312056,15.8997,
8.53338,56.3534,7.31974,59.1641,3.06156,-0.0275181,0.0002225,0.176679,-0.0282727,0.0070772,-0.312976,15.8997,
8.59296,56.7123,7.31974,59.1641,2.7627,-0.0324004,0.00533427,0.177606,-0.0274527,0.00946135,-0.313086,15.8997,
8.63263,57.0657,7.43093,59.6665,2.865,-0.0272371,0.0138118,0.176211,-0.0294327,0.0132822,-0.313456,15.8997,
8.69382,57.2439,7.43093,59.6665,2.73202,-0.0316378,0.00178841,0.174782,-0.0299627,0.0159047,-0.312536,15.8997,
8.76079,57.3684,7.56064,60.1941,3.07005,-0.0352478,-0.00741774,0.174309,-0.0312627,0.0141023,-0.311856,15.8997,
8.79036,57.5264,7.56064,60.1941,2.93747,-0.0309084,-0.0135748,0.17402,-0.0305927,0.0108792,-0.311696,15.8997,
8.84292,57.6356,7.67183,60.7217,3.30083,-0.0363711,-0.0285034,0.172824,-0.0307927,0.00498679,-0.310866,15.8997,
8.88296,57.7756,7.67183,60.7217,3.1853,-0.035192,-0.0363246,0.173741,-0.0317927,0.00149667,-0.311326,15.8997,
8.9108,57.9547,7.78302,61.2493,3.48227,-0.0358893,-0.0419189,0.17304,-0.0276027,0.000218463,-0.311176,15.8997,
8.90078,58.2124,7.78302,61.2493,3.23608,-0.0316917,-0.0386811,0.17229,-0.0226627,-0.000913391,-0.311276,15.8997,
8.92232,58.5772,7.87567,61.7894,3.3784,-0.0346907,-0.0295899,0.169689,-0.0215527,-0.00176316,-0.310196,15.8997,
8.98088,58.7541,7.87567,61.7894,3.23022,-0.0427908,-0.045439,0.168933,-0.0218627,-0.00277221,-0.309776,15.8997,
9.10278,58.933,7.98686,62.3421,3.58706,-0.0514539,-0.0505892,0.166302,-0.0273927,-0.00402364,-0.309436,15.8997,
9.26975,59.0955,8.07952,62.8823,3.96944,-0.0618261,-0.0541146,0.163108,-0.0319427,-0.003959,-0.308716,15.8997,
9.42533,59.2499,8.07952,62.8823,3.87374,-0.0665994,-0.0580045,0.162007,-0.0346527,-0.0040881,-0.308246,15.8997,
9.54904,59.3701,8.07952,62.8823,3.80727,-0.07263,-0.0660461,0.158923,-0.0365927,-0.00379318,-0.307496,15.8997,
9.67188,59.6132,8.19071,63.4224,4.08702,-0.0738231,-0.0591519,0.158552,-0.0385127,-0.00329166,-0.306956,15.8997,
9.75351,59.8803,8.19071,63.4224,3.87157,-0.0725374,-0.0575855,0.157103,-0.0407727,-0.00497196,-0.306856,15.8997,
9.78558,60.185,8.28336,63.9751,4.07693,-0.067643,-0.0537701,0.154819,-0.0405227,-0.00522184,-0.307486,15.8997,
9.81802,60.4867,8.28336,63.9751,3.81102,-0.0666356,-0.0549097,0.156357,-0.0391427,-0.00723506,-0.307956,15.8997,
9.83588,60.7208,8.35749,64.5278,4.08398,-0.068106,-0.0626775,0.156198,-0.0371027,-0.00928219,-0.308016,15.8997,
9.80127,61.0459,8.35749,64.5278,3.7694,-0.0592429,-0.0551868,0.158591,-0.0320927,-0.00951487,-0.308056,15.8997,
9.75884,61.3484,8.43162,65.0679,3.94918,-0.0552081,-0.0528942,0.155198,-0.0301527,-0.0068501,-0.309156,15.9997,
9.74977,61.609,8.43162,65.0679,3.70155,-0.0559255,-0.0519839,0.154221,-0.0295827,-0.00332474,-0.309056,15.9997,
9.71499,61.8554,8.50574,65.6081,3.94268,-0.0478589,-0.0478946,0.149842,-0.0295527,0.000960126,-0.309016,16.0997,
9.7059,62.1465,8.50574,65.6081,3.66377,-0.0451501,-0.0408206,0.149249,-0.0287527,0.00327361,-0.308986,16.0997,
9.72369,62.4522,8.56134,66.1608,3.88648,-0.0455028,-0.0359991,0.148672,-0.0272027,0.00308517,-0.308616,16.0997,
9.7246,62.6397,8.61694,66.7009,4.20958,-0.0444667,-0.0476634,0.149012,-0.0260627,0.00205712,-0.309086,16.1996,
9.73728,62.826,8.61694,66.7009,4.03356,-0.0466476,-0.0524632,0.14775,-0.0269627,0.00069001,-0.308806,16.1996,
9.78945,62.9997,8.61694,66.7009,3.8825,-0.0515253,-0.0582122,0.147179,-0.0262627,-0.00114972,-0.308506,16.1996,
9.84106,63.2031,8.67254,67.2536,4.21572,-0.0532875,-0.0612769,0.145686,-0.0279727,-0.00395052,-0.308916,16.2996,
9.89985,63.4408,8.67254,67.2536,4.00551,-0.0550659,-0.061357,0.146193,-0.0284827,-0.00595535,-0.308906,16.2996,
9.945,63.6602,8.72813,67.7937,4.3089,-0.0564993,-0.0671433,0.145861,-0.0284827,-0.0081968,-0.309106,16.2996,
9.99931,63.8531,8.72813,67.7937,4.14057,-0.0608576,-0.0718821,0.145236,-0.0268927,-0.00795669,-0.310426,16.2996,
10.0518,64.0091,8.7652,68.3464,4.52411,-0.069015,-0.0791085,0.145287,-0.0241827,-0.00697681,-0.310436,16.3996,
10.0913,64.1624,8.80227,68.8866,4.89688,-0.0707368,-0.0836163,0.145357,-0.0240127,-0.00707873,-0.311416,16.4996,
10.0994,64.3874,8.80227,68.8866,4.68241,-0.0663185,-0.0819749,0.143337,-0.0242127,-0.00812955,-0.311846,16.4996,
10.1406,64.6672,8.83933,69.4267,4.93421,-0.0692675,-0.076545,0.142824,-0.0241127,-0.00652138,-0.312006,16.5996,
10.1582,64.9535,8.83933,69.4267,4.66357,-0.0651231,-0.0733354,0.142751,-0.0245727,-0.0057157,-0.312566,16.5996,
10.1728,65.2137,8.8764,69.9543,4.91467,-0.064712,-0.0728531,0.141603,-0.0227127,-0.00217901,-0.312826,16.5996,
10.1635,65.5109,8.8764,69.9543,4.62608,-0.0623409,-0.0667973,0.138546,-0.0200127,-0.00069932,-0.312086,16.5996,
10.1095,65.8121,8.8764,69.9543,4.32186,-0.0545245,-0.0626435,0.138424,-0.0169127,0.000854556,-0.312426,16.5996,
10.0626,66.2153,8.91347,70.507,4.44289,-0.0502654,-0.0512304,0.136521,-0.0157627,0.00102475,-0.312176,16.6996,
